review_id,model_name,created_at,total_duration_ns,load_duration_ns,prompt_eval_duration_ns,generation_duration_ns,input_token_count,output_token_count
LpxL-67sdH-fPRG25Cn7aw,llama3.2,2026-06-25T22:57:05.932106Z,4233081834,98832417,355111000,3776792000,936,115
RU6dFyNLM4TuimBAtiCgUA,llama3.2,2026-06-25T22:57:09.939137Z,4003649625,99352375,171871000,3730100000,925,111
f0r46mhNoX1_ZSJ4NOiMuA,llama3.2,2026-06-25T22:57:14.467584Z,4522559292,98893875,289479000,4131781000,936,113
Jc4XrlQ4JE3WEZ0I_OGEEQ,llama3.2,2026-06-25T22:57:19.157579Z,4685065583,99545416,291738000,4291371000,953,126
wyvNTaVOeAHgP08SXjgy9w,llama3.2,2026-06-25T22:57:26.09133Z,6929300417,99719500,1412957000,5413200000,1198,164
JMuvjog2uOEFTbiuwqGjAg,llama3.2,2026-06-25T22:57:30.135095Z,4039280667,98474500,142670000,3795785000,927,117
wybvV9PHegVmodVQgqVM4g,llama3.2,2026-06-25T22:57:34.293443Z,4155171167,98496042,320213000,3734222000,958,113
pXesxwaNpwuWP2p8Pa4zmQ,llama3.2,2026-06-25T22:57:39.745899Z,5447257333,98769833,1014073000,4331285000,1071,128
kTEYW49JO4bIJggim_oVeA,llama3.2,2026-06-25T22:57:45.316576Z,5567350166,97889666,1827809000,3638158000,1302,118
WMPDhxb97G6YQKgJzYOGpA,llama3.2,2026-06-25T22:57:50.369797Z,5049488041,98679416,336495000,4612209000,959,137
1FndJpSL1SWOoRN6b8jmog,llama3.2,2026-06-25T22:57:57.110939Z,6736292792,99208208,1156680000,5477365000,1107,162
jUsvAENIoz--NjbZEBvKwA,llama3.2,2026-06-25T22:58:01.45439Z,4339746875,98401542,266478000,3972739000,940,125
jWEsqiit15pv1wWpBIfq-g,llama3.2,2026-06-25T22:58:06.548363Z,5088550166,98611333,1001350000,3985546000,1065,128
-qFr72hfTQShmka9AZ_7pw,llama3.2,2026-06-25T22:58:11.465089Z,4911816875,98877792,627700000,4182189000,1027,127
SbPp6QKJGwAEKFy-1SF3Tw,llama3.2,2026-06-25T22:58:18.389029Z,6919855834,98743292,1194583000,5623582000,1107,167
vUl1qixw2G3Clx_VvnAWyw,llama3.2,2026-06-25T22:58:22.982857Z,4589154459,100221125,267812000,4218761000,958,128
LlChd5ikYY8wiD8VpPXncw,llama3.2,2026-06-25T22:58:27.736816Z,4750202125,100624542,798691000,3847830000,1035,123
u2poeBrxAbQZZGBNB0q63w,llama3.2,2026-06-25T22:58:32.459798Z,4716841458,99954375,948693000,3665164000,1068,116
PjVagaBWB7Gpa-4SaoSPeA,llama3.2,2026-06-25T22:58:39.138086Z,6675997791,100861250,1108403000,5463627000,1076,158
AAaKK3mhq6XmcAhMvvBOnQ,llama3.2,2026-06-25T22:58:43.824547Z,4681057667,99727042,308589000,4270564999,949,124
fquqNGNZ0zppcCsfiR_UUA,llama3.2,2026-06-25T22:58:48.476147Z,4647583292,97906875,641989000,3904585000,1028,123
qGRpj9qkSF5WYHtUDXLD3Q,llama3.2,2026-06-25T22:58:52.685538Z,4204390916,98652333,338601000,3764993000,935,115
FzNGQVF8rtvo6dXpaeGHWg,llama3.2,2026-06-25T22:58:57.763764Z,5074024000,98917458,674835000,4297511000,1002,126
Y9SzbXOclozvC_x2tghEGA,llama3.2,2026-06-25T22:59:03.612346Z,5843603833,98818708,881066000,4860689000,1066,146
FXNdHkkcD_9HSGd0JLCfGw,llama3.2,2026-06-25T22:59:08.064781Z,4447122459,98625834,552981000,3792846000,1014,118
IhroJfU36WO8ekyVrxmTyg,llama3.2,2026-06-25T22:59:12.363071Z,4293462042,99200667,344560000,3847588000,951,118
2KX5xsm2soXNjs8ApXYZEg,llama3.2,2026-06-25T22:59:17.59749Z,5229284000,99431000,626265000,4500776000,1006,132
oKIX77yOiuDuR5lnkTZdZA,llama3.2,2026-06-25T22:59:22.371235Z,4768926042,100558583,713701000,3951598000,1062,122
uVz0yv0fGma-hAmmxIk6Tg,llama3.2,2026-06-25T22:59:26.903541Z,4527557833,99798750,653553000,3771364000,1026,118
Z3n3q69Qd8MiRYP9BQNVLQ,llama3.2,2026-06-25T22:59:31.580591Z,4671742250,99825375,698892000,3869919000,1011,120
lAh7QQj-PTfy3RKsmbwBFg,llama3.2,2026-06-25T22:59:35.937094Z,4351395583,99055125,848426000,3401096000,1035,111
iWgdAZIo6HhJQwzLYcbQAw,llama3.2,2026-06-25T22:59:40.05871Z,4116461625,98530375,323118000,3692433000,952,110
JXSE7nuM_nuMGwp5Xu6nXg,llama3.2,2026-06-25T22:59:45.746168Z,5682179417,99259042,954021000,4625821000,1082,135
NY_bzQKQJ34T6xYRuS4iAQ,llama3.2,2026-06-25T22:59:52.917827Z,7166709625,99944458,2200076000,4863352000,1391,146
4xjgcRJEcS9AsPUnh5pZCQ,llama3.2,2026-06-25T22:59:59.07793Z,6154708792,100632000,1001118000,5049758000,1114,152
yaC4M7xsl9pG8Wi4wuhfCA,llama3.2,2026-06-25T23:00:03.504192Z,4421159834,100037750,396770000,3921349000,978,119
8djbIW3OmWpNyMNoHoAPIg,llama3.2,2026-06-25T23:00:08.160263Z,4651007208,100079583,667906000,3880496000,1010,118
CKX4F4YMvjgPkvPn1Il3TQ,llama3.2,2026-06-25T23:00:14.798924Z,6634193875,99700792,909718000,5621663000,1069,169
mz1uW2E6sFiNvaRa9V4kwA,llama3.2,2026-06-25T23:00:20.486607Z,5682822458,99895166,1328211000,4251651000,1190,127
-SdFJctPd8Bh8opSowrRsw,llama3.2,2026-06-25T23:00:24.79452Z,4302954084,101072584,160664000,4038938000,934,120
fy2030hgOlV5Dgpt9x-vqg,llama3.2,2026-06-25T23:00:28.682567Z,3884776042,98348959,288434000,3495591000,941,112
bewj5fkPR5lK2jXS5rTAjw,llama3.2,2026-06-25T23:00:33.492799Z,4805721291,98272250,361184000,4343947000,956,128
k9E2Y32ace7nMCnTQ08r4Q,llama3.2,2026-06-25T23:00:37.722011Z,4224282875,98128042,355673000,3768479000,945,117
mH4QSsTn5kml44YNNvQrMQ,llama3.2,2026-06-25T23:00:42.78793Z,5061264750,99497542,901451000,4057230000,1033,125
g78caoWnRFaUN7ZbCkuI_Q,llama3.2,2026-06-25T23:00:47.138517Z,4345387333,98694041,552644000,3691484000,996,111
eiBZVkzno56AQhIV76cUaA,llama3.2,2026-06-25T23:00:51.49452Z,4352036917,98613625,469731000,3780731000,982,116
24AzwldLShV_TyIsBobDSA,llama3.2,2026-06-25T23:00:56.275984Z,4777000416,97901666,496973000,4179067000,989,125
